0,61;24,42;56,69;89,71;0,29
0,65;22,29;52,60;83,68;0,32
0,58;20,21;51,60;83,69;0,25
0,52;18,32;51,69;85,72;0,25
9,54;45,28;64,61;84,70;0,27
28,62;46,41;72,60;92,58;0,27
36,57;45,30;74,67;93,68;0,29
37,16;46,19;73,41;93,69;0,35
37,20;43,24;77,53;102,69;0,40
38,18;42,54;78,66;104,74;0,30
53,12;41,56;80,60;104,56;0,30
51,47;14,52;66,64;102,62;0,32
35,37;7,53;56,70;92,70;0,32
31,19;5,59;53,55;88,71;0,29
34,11;4,50;51,58;84,66;0,28
40,11;14,45;53,62;82,69;0,25
45,12;37,45;66,59;82,64;0,28
35,13;41,56;68,59;87,66;0,27
32,22;43,48;72,57;94,59;0,42
31,29;44,50;75,57;101,60;0,36
31,26;45,44;77,59;104,62;0,29
29,26;45,48;81,57;113,57;0,27
27,26;34,38;81,55;121,54;0,34
26,25;11,36;70,61;122,63;0,35
24,19;5,35;66,62;120,63;0,35
24,30;3,45;63,59;116,58;0,38
25,27;7,45;62,59;112,60;0,35
22,28;31,48;72,57;109,58;0,32
20,28;35,50;71,54;103,52;0,29
16,27;36,20;65,52;90,59;0,30
12,27;37,22;62,44;85,73;0,36
8,45;37,18;60,60;81,72;0,41
17,57;37,19;61,65;81,68;0,33
37,50;32,25;64,66;82,67;0,31
57,29;8,27;57,64;87,65;0,29
75,30;4,27;58,60;88,70;0,32
90,22;2,30;59,49;88,65;0,29
103,20;2,24;60,54;88,68;0,33
115,18;28,25;73,51;88,64;0,26
115,19;36,33;81,53;94,67;0,31
101,18;39,55;80,56;97,70;0,41
91,22;40,50;81,58;101,69;0,50
82,19;41,47;82,57;105,64;0,38
77,19;41,52;84,60;108,64;0,33
74,18;41,43;86,55;114,59;0,25
70,16;15,38;78,60;122,67;0,29
67,17;6,43;70,60;115,71;0,30
64,19;3,45;69,56;115,61;0,26
60,18;2,47;67,56;112,58;0,23
59,18;18,42;70,55;107,61;0,28
59,17;31,39;75,57;107,61;0,28
60,17;33,41;75,54;105,57;0,27
60,19;34,21;72,44;97,65;0,31
53,16;35,20;71,51;97,73;0,31
46,17;35,26;68,65;94,78;0,35
56,17;35,29;69,60;91,72;0,36
66,10;18,20;64,72;91,76;0,35
73,17;5,11;59,72;89,74;0,30
77,24;3,21;57,53;86,70;0,28
80,18;2,19;57,47;85,63;0,27
91,16;7,25;59,49;83,63;0,24
102,16;32,28;73,48;86,61;0,27
93,16;38,22;75,51;91,62;0,30
82,20;40,51;76,55;96,65;0,33
73,17;40,53;78,59;101,51;0,34
67,17;41,52;78,53;105,51;0,38
62,16;41,50;78,52;107,51;0,30
57,16;35,44;79,55;113,56;0,28
53,17;10,35;67,53;111,55;0,32
50,16;4,34;63,58;109,62;0,25
49,14;2,39;62,58;108,61;0,25
47,14;5,25;60,51;104,53;0,26
45,14;24,37;68,55;103,58;0,24
40,15;28,34;70,51;105,52;0,28
33,16;28,19;68,54;102,59;0,37
27,16;29,13;65,42;99,64;0,42
20,14;29,13;63,59;97,66;0,36
